"Active","ServerName","DatabaseName","FilePath","CreateSchema","ObjectType","SchemaAuth","SchemaName","ObjectName","ParentObjectName","DropTruncateIfExists","Variables","FileName"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","adobe_omniture_city_exclusion_hour_aggr","","DROP","","dbo_adobe_omniture_city_exclusion_hour_aggr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","adobe_omniture_cpw_hour_aggr","","DROP","","dbo_adobe_omniture_cpw_hour_aggr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","adobe_omniture_hour_aggr","","DROP","","dbo_adobe_omniture_hour_aggr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","adobe_omniture_os_exclusion_hour_aggr","","DROP","","dbo_adobe_omniture_os_exclusion_hour_aggr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","adobe_omniture_product_sku_daily_aggr","","DROP","","dbo_adobe_omniture_product_sku_daily_aggr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","adobe_omniture_shoplive_daily_aggr","","DROP","","dbo_adobe_omniture_shoplive_daily_aggr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","adobe_omniture_traffic_exclusion_hour_aggr","","DROP","","dbo_adobe_omniture_traffic_exclusion_hour_aggr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","adobe_omniture_visitor_exclusion_hour_aggr","","DROP","","dbo_adobe_omniture_visitor_exclusion_hour_aggr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","bnp_dc_dtm_appl_full","","DROP","","dbo_bnp_dc_dtm_appl_full.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","bnp_dc_dtm_appl_soft","","DROP","","dbo_bnp_dc_dtm_appl_soft.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","catalyst_inorddtl","","DROP","","dbo_catalyst_inorddtl.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","catalyst_inorddtl_wms","","DROP","","dbo_catalyst_inorddtl_wms.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","catalyst_inordhdr","","DROP","","dbo_catalyst_inordhdr.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","catalyst_inordhdr_wms","","DROP","","dbo_catalyst_inordhdr_wms.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","catalyst_trhputw","","DROP","","dbo_catalyst_trhputw.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","catalyst_trhputw_wms","","DROP","","dbo_catalyst_trhputw_wms.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","catalyst_trhrecv","","DROP","","dbo_catalyst_trhrecv.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","catalyst_trhrecv_wms","","DROP","","dbo_catalyst_trhrecv_wms.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","cms_categories","","DROP","","dbo_cms_categories.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","cms_complaints","","DROP","","dbo_cms_complaints.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","cms_complaint_method","","DROP","","dbo_cms_complaint_method.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","cms_follow_ups","","DROP","","dbo_cms_follow_ups.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","cms_policies","","DROP","","dbo_cms_policies.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","cms_products","","DROP","","dbo_cms_products.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","cms_redress","","DROP","","dbo_cms_redress.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_ap_assortment_view","","DROP","","dbo_csp_ap_ap_assortment_view.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_dcp_prod_store_range","","DROP","","dbo_csp_ap_dcp_prod_store_range.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_goal_data","","DROP","","dbo_csp_ap_goal_data.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_goal_master","","DROP","","dbo_csp_ap_goal_master.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_goal_templ","","DROP","","dbo_csp_ap_goal_templ.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_appr_assort_plan","","DROP","","dbo_csp_ap_mst_appr_assort_plan.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_group","","DROP","","dbo_csp_ap_mst_group.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_group_member","","DROP","","dbo_csp_ap_mst_group_member.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_ib_attr_mst","","DROP","","dbo_csp_ap_mst_ib_attr_mst.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_ib_attr_val","","DROP","","dbo_csp_ap_mst_ib_attr_val.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_ib_attr_valid_val","","DROP","","dbo_csp_ap_mst_ib_attr_valid_val.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_member","","DROP","","dbo_csp_ap_mst_member.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_member_relations","","DROP","","dbo_csp_ap_mst_member_relations.dsql"
"1","synapse-demo-amirskiy.sql.azuresynapse.net","Dixons","C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views","1","View","dbo","int","csp_ap_mst_pltassortment_plan","","DROP","","dbo_csp_ap_mst_pltassortment_plan.dsql"
