"GRANTOR","GRANTEE","OBJECT_CATALOG","OBJECT_SCHEMA","OBJECT_NAME","OBJECT_TYPE","PRIVILEGE_TYPE","IS_GRANTABLE","CREATED"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","NATION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","PART","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","PARTSUPP","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","SUPPLIER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","LINEITEM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","PARTSUPP","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","PART","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","SHIP_MODE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_RETURNS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","WEATHER","DAILY_16_TOTAL","TABLE","SELECT","NO","04/03/2021 09:56:21"
"SYSADMIN","PUBLIC","","","DEMO_DB","DATABASE","USAGE","NO","04/03/2021 09:56:19"
"SYSADMIN","SYSADMIN","","","UTIL_DB","DATABASE","OWNERSHIP","YES","04/03/2021 09:56:11"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CUSTOMER_ADDRESS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CUSTOMER_DEMOGRAPHICS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","ITEM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_SITE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","ORDERS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","NATION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","PARTSUPP","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","LINEITEM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","ORDERS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","","TPCH_SF100","SCHEMA","USAGE","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CALL_CENTER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_RETURNS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","INCOME_BAND","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_SITE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","","TPCH_SF10000","SCHEMA","USAGE","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_PAGE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","ITEM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","WEATHER","DAILY_14_TOTAL","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_RETURNS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_RETURNS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","PROMOTION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_PAGE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_SALES","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","LINEITEM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","NATION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","SUPPLIER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","","TPCDS_SF10TCL","SCHEMA","USAGE","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_PAGE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CUSTOMER_DEMOGRAPHICS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","DBGEN_VERSION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","","WEATHER","SCHEMA","USAGE","NO","04/03/2021 09:56:21"
"SYSADMIN","PUBLIC","","","DEMO_DB","DATABASE","CREATE SCHEMA","NO","04/03/2021 09:56:20"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_PAGE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","REASON","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","DATE_DIM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_RETURNS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","CUSTOMER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","REGION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","PARTSUPP","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","REGION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_SALES","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_SALES","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","INVENTORY","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","REASON","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_SALES","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","CUSTOMER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","PART","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","WEATHER","HOURLY_14_TOTAL","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","REGION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","DATE_DIM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","HOUSEHOLD_DEMOGRAPHICS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","","TPCH_SF1000","SCHEMA","USAGE","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_SALES","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CUSTOMER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","LINEITEM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","ORDERS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","CUSTOMER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","LINEITEM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","CUSTOMER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","ORDERS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","CUSTOMER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","WEATHER","HOURLY_16_TOTAL","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","SHIP_MODE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","NATION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","PART","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","PARTSUPP","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","NATION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","PART","TABLE","SELECT","NO","04/03/2021 09:56:21"
