"GRANTOR","GRANTEE","OBJECT_CATALOG","OBJECT_SCHEMA","OBJECT_NAME","OBJECT_TYPE","PRIVILEGE_TYPE","IS_GRANTABLE","CREATED"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","","TPCH_SF1","SCHEMA","USAGE","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_SALES","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","TIME_DIM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"SYSADMIN","PUBLIC","","","UTIL_DB","DATABASE","USAGE","NO","04/03/2021 09:56:11"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CALL_CENTER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","TIME_DIM","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","INVENTORY","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","HOUSEHOLD_DEMOGRAPHICS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","","","SNOWFLAKE_SAMPLE_DATA","DATABASE","USAGE","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","DBGEN_VERSION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","SUPPLIER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","SUPPLIER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","REGION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","ORDERS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","SUPPLIER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","","TPCDS_SF100TNC","SCHEMA","USAGE","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","","TPCH_SF10","SCHEMA","USAGE","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","REGION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_RETURNS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","PROMOTION","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CUSTOMER","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WAREHOUSE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CUSTOMER_ADDRESS","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","WEATHER","WEATHER_14_TOTAL","TABLE","SELECT","NO","04/03/2021 09:56:21"
"SYSADMIN","SYSADMIN","","","DEMO_DB","DATABASE","OWNERSHIP","YES","04/03/2021 09:56:19"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WAREHOUSE","TABLE","SELECT","NO","04/03/2021 09:56:21"
"ACCOUNTADMIN","PUBLIC","SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","INCOME_BAND","TABLE","SELECT","NO","04/03/2021 09:56:21"
