"name","islogin","isapprole","issqlrole","issqluser","isntgroup","isntname","isntuser"
"public","0","0","1","0","0","0","0"
"dbo","1","0","0","1","0","0","0"
"guest","1","0","0","1","0","0","0"
"INFORMATION_SCHEMA","1","0","0","1","0","0","0"
"sys","1","0","0","1","0","0","0"
"##MS_PolicyEventProcessingLogin##","1","0","0","1","0","0","0"
"##MS_AgentSigningCertificate##","1","0","0","0","0","0","0"
"db_owner","0","0","1","0","0","0","0"
"db_accessadmin","0","0","1","0","0","0","0"
"db_securityadmin","0","0","1","0","0","0","0"
"db_ddladmin","0","0","1","0","0","0","0"
"db_backupoperator","0","0","1","0","0","0","0"
"db_datareader","0","0","1","0","0","0","0"
"db_datawriter","0","0","1","0","0","0","0"
"db_denydatareader","0","0","1","0","0","0","0"
"db_denydatawriter","0","0","1","0","0","0","0"
