"Database","name","islogin","isapprole","issqlrole","issqluser","isntgroup","isntname","isntuser"
"WideWorldImporters","public","0","0","1","0","0","0","0"
"WideWorldImporters","dbo","1","0","0","1","0","0","0"
"WideWorldImporters","guest","1","0","0","1","0","0","0"
"WideWorldImporters","INFORMATION_SCHEMA","1","0","0","1","0","0","0"
"WideWorldImporters","sys","1","0","0","1","0","0","0"
"WideWorldImporters","External Sales","0","0","1","0","0","0","0"
"WideWorldImporters","Far West Sales","0","0","1","0","0","0","0"
"WideWorldImporters","Great Lakes Sales","0","0","1","0","0","0","0"
"WideWorldImporters","Mideast Sales","0","0","1","0","0","0","0"
"WideWorldImporters","New England Sales","0","0","1","0","0","0","0"
"WideWorldImporters","Plains Sales","0","0","1","0","0","0","0"
"WideWorldImporters","Rocky Mountain Sales","0","0","1","0","0","0","0"
"WideWorldImporters","Southeast Sales","0","0","1","0","0","0","0"
"WideWorldImporters","Southwest Sales","0","0","1","0","0","0","0"
"WideWorldImporters","db_owner","0","0","1","0","0","0","0"
"WideWorldImporters","db_accessadmin","0","0","1","0","0","0","0"
"WideWorldImporters","db_securityadmin","0","0","1","0","0","0","0"
"WideWorldImporters","db_ddladmin","0","0","1","0","0","0","0"
"WideWorldImporters","db_backupoperator","0","0","1","0","0","0","0"
"WideWorldImporters","db_datareader","0","0","1","0","0","0","0"
"WideWorldImporters","db_datawriter","0","0","1","0","0","0","0"
"WideWorldImporters","db_denydatareader","0","0","1","0","0","0","0"
"WideWorldImporters","db_denydatawriter","0","0","1","0","0","0","0"
"WideWorldImportersDW","public","0","0","1","0","0","0","0"
"WideWorldImportersDW","dbo","1","0","0","1","0","0","0"
"WideWorldImportersDW","guest","1","0","0","1","0","0","0"
"WideWorldImportersDW","INFORMATION_SCHEMA","1","0","0","1","0","0","0"
"WideWorldImportersDW","sys","1","0","0","1","0","0","0"
"WideWorldImportersDW","db_owner","0","0","1","0","0","0","0"
"WideWorldImportersDW","db_accessadmin","0","0","1","0","0","0","0"
"WideWorldImportersDW","db_securityadmin","0","0","1","0","0","0","0"
"WideWorldImportersDW","db_ddladmin","0","0","1","0","0","0","0"
"WideWorldImportersDW","db_backupoperator","0","0","1","0","0","0","0"
"WideWorldImportersDW","db_datareader","0","0","1","0","0","0","0"
"WideWorldImportersDW","db_datawriter","0","0","1","0","0","0","0"
"WideWorldImportersDW","db_denydatareader","0","0","1","0","0","0","0"
"WideWorldImportersDW","db_denydatawriter","0","0","1","0","0","0","0"
