"Database","schema","name","COUNT"
"WideWorldImporters","Warehouse","ColdRoomTemperatures_Archive","3654736"
"WideWorldImporters","Warehouse","StockItemTransactions","236667"
"WideWorldImporters","Sales","OrderLines","231412"
"WideWorldImporters","Sales","InvoiceLines","228265"
"WideWorldImporters","Sales","CustomerTransactions","97147"
"WideWorldImporters","Sales","Orders","73595"
"WideWorldImporters","Sales","Invoices","70510"
"WideWorldImporters","Warehouse","VehicleTemperatures","65998"
"WideWorldImporters","Application","Cities","37940"
"WideWorldImporters","Purchasing","PurchaseOrderLines","8367"
"WideWorldImporters","Purchasing","SupplierTransactions","2438"
"WideWorldImporters","Purchasing","PurchaseOrders","2074"
"WideWorldImporters","Application","People","1111"
"WideWorldImporters","Application","People_Archive","961"
"WideWorldImporters","Sales","Customers","663"
"WideWorldImporters","Warehouse","StockItems_Archive","444"
"WideWorldImporters","Warehouse","StockItemStockGroups","442"
"WideWorldImporters","Warehouse","StockItemHoldings","227"
"WideWorldImporters","Warehouse","StockItems","227"
"WideWorldImporters","Application","Countries","190"
"WideWorldImporters","Application","StateProvinces_Archive","104"
"WideWorldImporters","Application","StateProvinces","53"
"WideWorldImporters","Sales","Customers_Archive","51"
"WideWorldImporters","Application","Countries_Archive","36"
"WideWorldImporters","Warehouse","Colors","36"
"WideWorldImporters","Application","Cities_Archive","28"
"WideWorldImporters","Warehouse","PackageTypes","14"
"WideWorldImporters","Application","TransactionTypes","13"
"WideWorldImporters","Purchasing","Suppliers","13"
"WideWorldImporters","Purchasing","Suppliers_Archive","13"
"WideWorldImporters","Application","DeliveryMethods","10"
"WideWorldImporters","Warehouse","StockGroups","10"
"WideWorldImporters","Purchasing","SupplierCategories","9"
"WideWorldImporters","Sales","CustomerCategories","8"
"WideWorldImporters","Warehouse","ColdRoomTemperatures","4"
"WideWorldImporters","Application","PaymentMethods","4"
"WideWorldImporters","Sales","SpecialDeals","2"
"WideWorldImporters","Sales","BuyingGroups","2"
"WideWorldImporters","Sales","CustomerCategories_Archive","1"
"WideWorldImporters","Application","TransactionTypes_Archive","1"
"WideWorldImporters","Application","PaymentMethods_Archive","1"
"WideWorldImporters","Application","DeliveryMethods_Archive","1"
"WideWorldImporters","Purchasing","SupplierCategories_Archive","1"
"WideWorldImporters","Application","SystemParameters","1"
"WideWorldImporters","Warehouse","StockGroups_Archive","1"
"WideWorldImporters","Warehouse","Colors_Archive","1"
"WideWorldImporters","Warehouse","PackageTypes_Archive","0"
"WideWorldImporters","Sales","BuyingGroups_Archive","0"
"WideWorldImportersDW","Fact","Movement","236667"
"WideWorldImportersDW","Fact","Order","231412"
"WideWorldImportersDW","Fact","Sale","228265"
"WideWorldImportersDW","Dimension","City","116295"
"WideWorldImportersDW","Fact","Transaction","99585"
"WideWorldImportersDW","Fact","Purchase","8367"
"WideWorldImportersDW","Dimension","Date","1461"
"WideWorldImportersDW","Dimension","Stock Item","672"
"WideWorldImportersDW","Dimension","Customer","403"
"WideWorldImportersDW","Fact","Stock Holding","227"
"WideWorldImportersDW","Dimension","Employee","213"
"WideWorldImportersDW","Dimension","Supplier","28"
"WideWorldImportersDW","Dimension","Transaction Type","15"
"WideWorldImportersDW","Integration","ETL Cutoff","14"
"WideWorldImportersDW","Integration","Lineage","13"
"WideWorldImportersDW","Dimension","Payment Method","6"
"WideWorldImportersDW","Integration","Movement_Staging","0"
"WideWorldImportersDW","Integration","Order_Staging","0"
"WideWorldImportersDW","Integration","PaymentMethod_Staging","0"
"WideWorldImportersDW","Integration","Purchase_Staging","0"
"WideWorldImportersDW","Integration","Sale_Staging","0"
"WideWorldImportersDW","Integration","StockHolding_Staging","0"
"WideWorldImportersDW","Integration","StockItem_Staging","0"
"WideWorldImportersDW","Integration","Supplier_Staging","0"
"WideWorldImportersDW","Integration","Transaction_Staging","0"
"WideWorldImportersDW","Integration","TransactionType_Staging","0"
"WideWorldImportersDW","Integration","City_Staging","0"
"WideWorldImportersDW","Integration","Customer_Staging","0"
"WideWorldImportersDW","Integration","Employee_Staging","0"
