"Database","name","COUNT"
"WideWorldImporters","bigint","9"
"WideWorldImporters","bit","23"
"WideWorldImporters","date","14"
"WideWorldImporters","datetime2","88"
"WideWorldImporters","decimal","36"
"WideWorldImporters","geography","11"
"WideWorldImporters","geometry","11"
"WideWorldImporters","hierarchyid","11"
"WideWorldImporters","int","202"
"WideWorldImporters","nvarchar","167"
"WideWorldImporters","sysname","167"
"WideWorldImporters","varbinary","7"
"WideWorldImportersDW","bigint","14"
"WideWorldImportersDW","bit","9"
"WideWorldImportersDW","date","15"
"WideWorldImportersDW","datetime2","37"
"WideWorldImportersDW","decimal","40"
"WideWorldImportersDW","geography","2"
"WideWorldImportersDW","geometry","2"
"WideWorldImportersDW","hierarchyid","2"
"WideWorldImportersDW","int","167"
"WideWorldImportersDW","nvarchar","81"
"WideWorldImportersDW","sysname","81"
"WideWorldImportersDW","varbinary","4"
