"Database","Active","DatabaseName","SchemaName","OutputFolderPath","FileName","ObjectName","ObjectsToScript"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DatabaseLog","dbo.DatabaseLog","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimAccount","dbo.DimAccount","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimCurrency","dbo.DimCurrency","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimCustomer","dbo.DimCustomer","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimDate","dbo.DimDate","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimDepartmentGroup","dbo.DimDepartmentGroup","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimEmployee","dbo.DimEmployee","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimGeography","dbo.DimGeography","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimOrganization","dbo.DimOrganization","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimProduct","dbo.DimProduct","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimProductCategory","dbo.DimProductCategory","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimProductSubcategory","dbo.DimProductSubcategory","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimPromotion","dbo.DimPromotion","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimReseller","dbo.DimReseller","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimSalesReason","dbo.DimSalesReason","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimSalesTerritory","dbo.DimSalesTerritory","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_DimScenario","dbo.DimScenario","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_FactCallCenter","dbo.FactCallCenter","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_FactCurrencyRate","dbo.FactCurrencyRate","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_FactFinance","dbo.FactFinance","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_FactInternetSales","dbo.FactInternetSales","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_FactInternetSalesReason","dbo.FactInternetSalesReason","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_ProspectiveBuyer","dbo.ProspectiveBuyer","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_FactResellerSales","dbo.FactResellerSales","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_FactSalesQuota","dbo.FactSalesQuota","TABLE"
"AdventureWorksDW2","1","AdventureWorksDW2","dbo","\AdventureWorksDW2\Tables\","dbo_FactSurveyResponse","dbo.FactSurveyResponse","TABLE"
